condition_id,experiment,group,topic_index,run_index,lyra_gap,cipher_gap,lyra_own,cipher_own,coherence_mean,topic_drift_mean,drift_slope,sentiment_mean,sentiment_slope,sentiment_vol,lyra_sem_div,cipher_sem_div,lyra_ttr,cipher_ttr,global_ttr
modiso__gpt-oss-20b__t03__r01,modiso,gpt-oss-20b,3,1,0.0842,0.3894,0.5421,0.6947,0.5216928210109473,0.41547557143937974,-0.014524100817643208,0.3842999999999999,-0.016158831168831166,0.42954386881678946,0.6434789896011353,0.6622987389564514,0.5496894409937888,0.48956356736242884,0.4252775405636208
modiso__gpt-oss-20b__t03__r02,modiso,gpt-oss-20b,3,2,0.0116,0.3467,0.5058,0.6733,0.517108254134655,0.35287709321294514,-0.02069531470150143,0.4343238095238095,0.008436623376623372,0.4923899073515601,0.6234195232391357,0.6705348491668701,0.49441340782122906,0.5031982942430704,0.40337552742616034
modiso__gpt-oss-20b__t03__r03,modiso,gpt-oss-20b,3,3,0.1329,0.1428,0.5665,0.5714,0.6102964766323566,0.4213223436049053,-0.02576777197710879,0.665447619047619,-0.0013562337662337577,0.38651029015938626,0.6023792028427124,0.5450072884559631,0.5066864784546805,0.4776386404293381,0.39285714285714285
modiso__gpt-oss-20b__t04__r01,modiso,gpt-oss-20b,4,1,-0.0352,0.1966,0.4824,0.5983,0.4681138167157769,0.35889927572792485,-0.01701309565793384,0.10310952380952382,0.010821168831168815,0.5132886618516792,0.7359890937805176,0.721039354801178,0.539708265802269,0.5123456790123457,0.4252039891205802
modiso__gpt-oss-20b__t04__r02,modiso,gpt-oss-20b,4,2,-0.0765,0.456,0.4617,0.728,0.533186548948288,0.4323782878262656,-0.01167110042138533,0.33218571428571425,0.05918350649350649,0.6623136476709177,0.5851392149925232,0.5997998118400574,0.5665024630541872,0.4632867132867133,0.42337002540220153
modiso__gpt-oss-20b__t04__r03,modiso,gpt-oss-20b,4,3,-0.0606,0.1695,0.4697,0.5847,0.5090419426560402,0.3563478613893191,-0.0197912985821823,0.39737619047619044,-0.009661298701298691,0.43122865098820434,0.7161271572113037,0.6458600163459778,0.5165165165165165,0.4944029850746269,0.4059900166389351
modiso__gpt-oss-20b__t05__r01,modiso,gpt-oss-20b,5,1,0.0311,0.3449,0.5156,0.6725,0.5329462587833405,0.37537713810091927,-0.024038832508898395,0.6061142857142857,0.02524935064935064,0.28161733794994515,0.6344547867774963,0.6594015955924988,0.594306049822064,0.5378787878787878,0.4614678899082569
modiso__gpt-oss-20b__t05__r02,modiso,gpt-oss-20b,5,2,0.0047,0.2142,0.5023,0.6071,0.5557911962270736,0.4479716196656227,-0.025052802429183733,0.34606190476190485,-0.003055454545454547,0.47464982327946675,0.6051141023635864,0.5909191966056824,0.5494011976047904,0.4982456140350877,0.4273021001615509
modiso__gpt-oss-20b__t05__r03,modiso,gpt-oss-20b,5,3,0.0954,0.4336,0.5477,0.7168,0.5646783545613289,0.3525534126286705,-0.02693452558589059,0.5609809523809522,0.04559740259740259,0.3913631739483194,0.6506754755973816,0.6706770658493042,0.5633802816901409,0.5010141987829615,0.42695570216776624
modiso__gpt-oss-20b__t06__r01,modiso,gpt-oss-20b,6,1,0.0967,0.2445,0.5484,0.6222,0.42811560444533825,0.32239791999260586,-0.0213298999643945,0.38132857142857146,0.003154805194805197,0.5039946089496793,0.7361668944358826,0.7178409099578857,0.5164473684210527,0.4810606060606061,0.40316901408450706
